domain,aspect,sentiment,tweet_text
restaurants,food quality,positive,"Hands down, this is the best food quality I've experienced with any restaurants."
smartphones,design,neutral,Not much to say about the design—it's just fine.
ride-sharing,car cleanliness,negative,Really disappointed by the car cleanliness in this ride-sharing.
ride-sharing,wait time,neutral,"The ride-sharing's wait time does the job, nothing exciting."
streaming services,subscription price,positive,The subscription price on this streaming services exceeded all expectations.
streaming services,ads,negative,Still can't get over how bad the ads is on this streaming services.
restaurants,ambience,negative,Wish the ambience on this restaurants was better.
streaming services,subscription price,negative,Still can't get over how bad the subscription price is on this streaming services.
restaurants,price,positive,Totally satisfied with the price—solid upgrade for the restaurants.
e-commerce,refund policy,positive,"Hands down, this is the best refund policy I've experienced with any e-commerce."
restaurants,ambience,positive,Absolutely loving the ambience of my new restaurants.
streaming services,app experience,neutral,Not much to say about the app experience—it's just fine.
e-commerce,product quality,neutral,"The product quality on the e-commerce is okay, I guess."
ride-sharing,ride cost,neutral,Not much to say about the ride cost—it's just fine.
restaurants,food quality,neutral,"The restaurants's food quality does the job, nothing exciting."
e-commerce,delivery time,neutral,"Honestly, the delivery time feels pretty average for a e-commerce."
smartphones,design,positive,"Hands down, this is the best design I've experienced with any smartphones."
smartphones,screen,negative,Still can't get over how bad the screen is on this smartphones.
smartphones,performance,negative,Still can't get over how bad the performance is on this smartphones.
smartphones,design,negative,Wish the design on this smartphones was better.
streaming services,app experience,neutral,No real complaints or praise for the app experience of this streaming services.
ride-sharing,ride cost,negative,Still can't get over how bad the ride cost is on this ride-sharing.
restaurants,cleanliness,neutral,No real complaints or praise for the cleanliness of this restaurants.
smartphones,battery life,neutral,"Honestly, the battery life feels pretty average for a smartphones."
e-commerce,product quality,positive,"Hands down, this is the best product quality I've experienced with any e-commerce."
streaming services,app experience,positive,Absolutely loving the app experience of my new streaming services.
e-commerce,customer support,positive,I'm genuinely impressed with the customer support on this e-commerce.
ride-sharing,driver behavior,positive,Absolutely loving the driver behavior of my new ride-sharing.
e-commerce,refund policy,negative,This e-commerce seriously dropped the ball on refund policy.
smartphones,camera,negative,Still can't get over how bad the camera is on this smartphones.
smartphones,performance,negative,This smartphones seriously dropped the ball on performance.
ride-sharing,ride cost,negative,Wish the ride cost on this ride-sharing was better.
smartphones,screen,neutral,No real complaints or praise for the screen of this smartphones.
streaming services,subscription price,negative,This streaming services seriously dropped the ball on subscription price.
restaurants,cleanliness,negative,Wish the cleanliness on this restaurants was better.
e-commerce,refund policy,negative,Really disappointed by the refund policy in this e-commerce.
e-commerce,product quality,negative,Wish the product quality on this e-commerce was better.
streaming services,video quality,negative,Wish the video quality on this streaming services was better.
smartphones,performance,positive,I'm genuinely impressed with the performance on this smartphones.
smartphones,camera,positive,"Hands down, this is the best camera I've experienced with any smartphones."
e-commerce,customer support,neutral,"The e-commerce's customer support does the job, nothing exciting."
restaurants,price,neutral,No real complaints or praise for the price of this restaurants.
streaming services,app experience,negative,Still can't get over how bad the app experience is on this streaming services.
ride-sharing,driver behavior,positive,"Hands down, this is the best driver behavior I've experienced with any ride-sharing."
e-commerce,product quality,negative,The product quality totally ruined my experience with this e-commerce.
ride-sharing,route efficiency,neutral,"Honestly, the route efficiency feels pretty average for a ride-sharing."
smartphones,design,neutral,"Honestly, the design feels pretty average for a smartphones."
e-commerce,delivery time,negative,Really disappointed by the delivery time in this e-commerce.
